ticker,posterior_mean,lower_bound,upper_bound,classification
PLD,0.002,-0.009,0.014,Unaffected
PRU,-0.005,-0.015,0.006,Unaffected
PEG,0.005,-0.005,0.017,Unaffected
PTC,-0.015,-0.027,-0.005,Sensitive
PSA,0.001,-0.01,0.012,Unaffected
PHM,0.001,-0.01,0.012,Unaffected
PWR,-0.013,-0.023,-0.001,Sensitive
QCOM,0.004,-0.007,0.015,Unaffected
DGX,0.013,0.002,0.024,Resilient
RL,0.005,-0.006,0.016,Unaffected
RJF,-0.004,-0.015,0.007,Unaffected
RTX,0.008,-0.003,0.02,Resilient
O,0.009,-0.001,0.02,Resilient
REG,0.003,-0.009,0.014,Unaffected
REGN,0.004,-0.008,0.015,Unaffected
RF,-0.005,-0.016,0.006,Unaffected
RSG,0.016,0.006,0.027,Resilient
RMD,0.003,-0.008,0.014,Unaffected
RVTY,0.005,-0.004,0.017,Unaffected
ROK,0.004,-0.008,0.014,Unaffected
ROL,0.01,-0.002,0.02,Resilient
ROP,0.006,-0.006,0.017,Resilient
ROST,-0.001,-0.012,0.01,Unaffected
RCL,-0.007,-0.019,0.004,Sensitive
SPGI,0.004,-0.007,0.016,Unaffected
CRM,-0.016,-0.027,-0.005,Sensitive
SBAC,0.008,-0.003,0.019,Resilient
SLB,0.005,-0.006,0.015,Unaffected
STX,-0.008,-0.019,0.003,Sensitive
SRE,0.0,-0.011,0.011,Unaffected
NOW,-0.015,-0.026,-0.004,Sensitive
SHW,-0.0,-0.011,0.011,Unaffected
SPG,-0.003,-0.014,0.009,Unaffected
SWKS,-0.01,-0.02,0.002,Sensitive
SJM,-0.001,-0.013,0.009,Unaffected
SW,-0.008,-0.019,0.003,Sensitive
SNA,0.002,-0.01,0.012,Unaffected
SOLV,0.003,-0.008,0.014,Unaffected
SO,0.017,0.006,0.029,Resilient
LUV,-0.005,-0.016,0.005,Unaffected
SWK,0.007,-0.004,0.018,Resilient
SBUX,0.001,-0.01,0.012,Unaffected
STT,-0.003,-0.015,0.008,Unaffected
STLD,0.007,-0.005,0.017,Resilient
STE,0.012,0.0,0.022,Resilient
SYK,0.004,-0.008,0.015,Unaffected
SMCI,0.032,0.021,0.043,Resilient
SYF,-0.011,-0.022,0.001,Sensitive
SNPS,-0.005,-0.015,0.007,Unaffected
SYY,0.0,-0.01,0.012,Unaffected
TMUS,0.014,0.003,0.025,Resilient
TROW,-0.008,-0.02,0.003,Sensitive
TTWO,0.014,0.003,0.026,Resilient
TPR,0.015,0.005,0.027,Resilient
TRGP,0.012,0.001,0.023,Resilient
TGT,-0.004,-0.015,0.007,Unaffected
TEL,0.003,-0.007,0.014,Unaffected
TDY,0.003,-0.008,0.013,Unaffected
TER,0.001,-0.01,0.012,Unaffected
TSLA,-0.032,-0.043,-0.021,Sensitive
TXN,0.009,-0.002,0.021,Resilient
TPL,0.019,0.008,0.03,Resilient
TXT,-0.001,-0.012,0.011,Unaffected
TMO,0.002,-0.009,0.014,Unaffected
TJX,0.001,-0.01,0.012,Unaffected
TKO,0.007,-0.004,0.019,Resilient
TSCO,0.008,-0.004,0.019,Resilient
TT,-0.001,-0.011,0.011,Unaffected
TDG,0.009,-0.001,0.021,Resilient
TRV,0.005,-0.006,0.016,Unaffected
TRMB,-0.0,-0.011,0.011,Unaffected
TFC,-0.005,-0.016,0.007,Unaffected
TYL,0.002,-0.01,0.012,Unaffected
TSN,0.004,-0.007,0.015,Unaffected
USB,-0.008,-0.018,0.004,Sensitive
UBER,0.029,0.017,0.039,Resilient
UDR,0.001,-0.01,0.011,Unaffected
ULTA,-0.009,-0.02,0.002,Sensitive
UNP,0.007,-0.004,0.017,Resilient
UAL,0.006,-0.005,0.017,Resilient
UPS,0.007,-0.004,0.018,Resilient
URI,-0.007,-0.018,0.004,Sensitive
UNH,0.012,0.002,0.024,Resilient
UHS,0.002,-0.009,0.013,Unaffected
VLO,0.015,0.003,0.025,Resilient
VTR,0.013,0.002,0.024,Resilient
VLTO,0.005,-0.005,0.016,Unaffected
VRSN,0.023,0.011,0.034,Resilient
VRSK,0.012,0.0,0.024,Resilient
VZ,0.009,-0.002,0.021,Resilient
VRTX,-0.004,-0.016,0.006,Unaffected
VTRS,-0.008,-0.02,0.003,Sensitive
VICI,-0.001,-0.012,0.01,Unaffected
V,0.01,-0.001,0.021,Resilient
VST,-0.0,-0.012,0.01,Unaffected
VMC,-0.008,-0.019,0.003,Sensitive
WRB,0.013,0.002,0.024,Resilient
GWW,-0.0,-0.011,0.011,Unaffected
WAB,-0.001,-0.013,0.009,Unaffected
WBA,0.034,0.023,0.045,Resilient
WMT,0.0,-0.01,0.012,Unaffected
DIS,-0.004,-0.016,0.007,Unaffected
WBD,-0.016,-0.027,-0.005,Sensitive
WM,0.01,-0.001,0.022,Resilient
WAT,0.01,-0.002,0.021,Resilient
WEC,0.016,0.005,0.027,Resilient
WFC,0.004,-0.007,0.014,Unaffected
WELL,0.01,-0.001,0.022,Resilient
WST,-0.018,-0.029,-0.007,Sensitive
WDC,-0.016,-0.026,-0.005,Sensitive
WY,-0.0,-0.012,0.011,Unaffected
WSM,-0.002,-0.013,0.009,Unaffected
WMB,0.012,0.002,0.023,Resilient
WTW,0.01,-0.001,0.021,Resilient
WDAY,-0.005,-0.016,0.006,Unaffected
WYNN,-0.002,-0.013,0.01,Unaffected
XEL,0.006,-0.004,0.017,Resilient
XYL,0.005,-0.006,0.016,Unaffected
YUM,0.014,0.003,0.024,Resilient
ZBRA,-0.02,-0.031,-0.009,Sensitive
ZBH,0.006,-0.006,0.017,Resilient
ZTS,-0.001,-0.011,0.01,Unaffected
BRK.B,0.011,0.001,0.023,Resilient
BF.B,-0.011,-0.022,-0.0,Sensitive
